iter	Passed	Remaining
0	0	78
1	1	73
2	2	68
3	2	63
4	3	62
5	3	62
6	4	59
7	5	59
8	5	60
9	6	59
10	7	59
11	7	58
12	8	58
13	9	57
14	10	57
15	10	56
16	11	56
17	12	56
18	12	55
19	13	54
20	14	54
21	15	54
22	15	53
23	16	52
24	17	52
25	18	51
26	18	51
27	19	50
28	20	49
29	21	49
30	21	48
31	22	47
32	22	46
33	23	45
34	24	45
35	24	44
36	25	43
37	26	42
38	26	41
39	27	40
40	27	40
41	28	39
42	29	38
43	29	37
44	30	37
45	31	36
46	31	35
47	32	35
48	33	34
49	33	33
50	34	33
51	35	32
52	35	31
53	36	31
54	37	30
55	37	29
56	38	28
57	38	28
58	39	27
59	40	26
60	40	26
61	41	25
62	42	24
63	42	24
64	43	23
65	43	22
66	44	21
67	45	21
68	45	20
69	46	19
70	47	19
71	47	18
72	48	17
73	49	17
74	49	16
75	50	15
76	50	15
77	51	14
78	52	13
79	52	13
80	53	12
81	54	11
82	54	11
83	55	10
84	55	9
85	56	9
86	57	8
87	57	7
88	58	7
89	59	6
90	59	5
91	60	5
92	60	4
93	61	3
94	62	3
95	62	2
96	63	1
97	64	1
98	64	0
99	65	0
